user_id,recommend,0
qVc8ODYU5SZjKXVBgXdI7w,0,q_QQ5kBBwlCcbL1s4NVK3g
qVc8ODYU5SZjKXVBgXdI7w,1,MGPQVLsODMm9ZtYQW-g_OA
qVc8ODYU5SZjKXVBgXdI7w,2,OlJ9vcVFB1iEKcZO-MS3cQ
qVc8ODYU5SZjKXVBgXdI7w,3,QJI9OSEn6ujRCtrX06vs1w
qVc8ODYU5SZjKXVBgXdI7w,4,2l0O1EI1m0yWjFo2zSt71w
qVc8ODYU5SZjKXVBgXdI7w,5,RgDVC3ZUBqpEe6Y1kPhIpw
qVc8ODYU5SZjKXVBgXdI7w,6,VHdY6oG2JPVNjihWhOooAQ
qVc8ODYU5SZjKXVBgXdI7w,7,om5ZiponkpRqUNa3pVPiRg
qVc8ODYU5SZjKXVBgXdI7w,8,ITa3vh5ERI90G_WP4SmGUQ
qVc8ODYU5SZjKXVBgXdI7w,9,P5bUL3Engv-2z6kKohB6qQ
qVc8ODYU5SZjKXVBgXdI7w,10,gjhzKWsqCIrpEd9pevbKZw
qVc8ODYU5SZjKXVBgXdI7w,11,FVjmJWsjzed0yDGlOB0QqA
qVc8ODYU5SZjKXVBgXdI7w,12,Ve0LUwcrzxL7w0RYgY4Aaw
qVc8ODYU5SZjKXVBgXdI7w,13,m07sy7eLtOjVdZ8oN9JKag
qVc8ODYU5SZjKXVBgXdI7w,14,ci7Q6NvXQ8UZrBHusVX18g
qVc8ODYU5SZjKXVBgXdI7w,15,HYQoxBC1y1DGPq6pGP09Tw
qVc8ODYU5SZjKXVBgXdI7w,16,IzJ36jX6V6ky5BtoN-Agng
qVc8ODYU5SZjKXVBgXdI7w,17,Qa2NoSc6DphQArihBgY9Gg
qVc8ODYU5SZjKXVBgXdI7w,18,fHS0bQ-l5rHME_xXKQSYXQ
qVc8ODYU5SZjKXVBgXdI7w,19,HFECrzYDpgbS5EmTBtj2zQ
qVc8ODYU5SZjKXVBgXdI7w,20,RmXIjppHNtVveguN10iO1g
qVc8ODYU5SZjKXVBgXdI7w,21,UKSw9kfoBfdatSMUl-jGnA
qVc8ODYU5SZjKXVBgXdI7w,22,3GiMheHTAzo85rBm0W_Yww
qVc8ODYU5SZjKXVBgXdI7w,23,ZIOCmdFaMIF56FR-nWr_2A
qVc8ODYU5SZjKXVBgXdI7w,24,a21yEFhTXEJImb9hGl0JyQ
qVc8ODYU5SZjKXVBgXdI7w,25,cEDMie5DjE_00sJ23H2q9Q
qVc8ODYU5SZjKXVBgXdI7w,26,LZZlD-7A1o_lCQZAt_NvLA
j14WgRoU_-2ZE1aw1dXrJg,0,MGPQVLsODMm9ZtYQW-g_OA
j14WgRoU_-2ZE1aw1dXrJg,1,QJI9OSEn6ujRCtrX06vs1w
j14WgRoU_-2ZE1aw1dXrJg,2,RgDVC3ZUBqpEe6Y1kPhIpw
j14WgRoU_-2ZE1aw1dXrJg,3,VHdY6oG2JPVNjihWhOooAQ
j14WgRoU_-2ZE1aw1dXrJg,4,om5ZiponkpRqUNa3pVPiRg
j14WgRoU_-2ZE1aw1dXrJg,5,0G-QF457q_0Z_jKqh6xWiA
j14WgRoU_-2ZE1aw1dXrJg,6,ITa3vh5ERI90G_WP4SmGUQ
j14WgRoU_-2ZE1aw1dXrJg,7,P5bUL3Engv-2z6kKohB6qQ
j14WgRoU_-2ZE1aw1dXrJg,8,8ZryN_S-n48g6rsa3W3QtQ
j14WgRoU_-2ZE1aw1dXrJg,9,gjhzKWsqCIrpEd9pevbKZw
j14WgRoU_-2ZE1aw1dXrJg,10,Ve0LUwcrzxL7w0RYgY4Aaw
j14WgRoU_-2ZE1aw1dXrJg,11,m07sy7eLtOjVdZ8oN9JKag
j14WgRoU_-2ZE1aw1dXrJg,12,ci7Q6NvXQ8UZrBHusVX18g
j14WgRoU_-2ZE1aw1dXrJg,13,HYQoxBC1y1DGPq6pGP09Tw
j14WgRoU_-2ZE1aw1dXrJg,14,IzJ36jX6V6ky5BtoN-Agng
j14WgRoU_-2ZE1aw1dXrJg,15,CQUDh80m48xnzUkx-X5NAw
j14WgRoU_-2ZE1aw1dXrJg,16,M9puGD3VU5FuhE60HklCvg
j14WgRoU_-2ZE1aw1dXrJg,17,4VbB9qS2Xvk-bjAI1bNlGw
j14WgRoU_-2ZE1aw1dXrJg,18,lf1m4CbheuUR7fFZoLGRvA
j14WgRoU_-2ZE1aw1dXrJg,19,5BpJEC8YVi80ecWT5CtlfQ
j14WgRoU_-2ZE1aw1dXrJg,20,WWnhqRnWWjutMqh-2SzEuQ
j14WgRoU_-2ZE1aw1dXrJg,21,HFECrzYDpgbS5EmTBtj2zQ
j14WgRoU_-2ZE1aw1dXrJg,22,p3heVCnq3M0H2LMxIuuc5g
j14WgRoU_-2ZE1aw1dXrJg,23,rcU7ysY41qGppbw4pQgjqg
j14WgRoU_-2ZE1aw1dXrJg,24,o4tYl3Hz0oDfpNn4k02DCw
j14WgRoU_-2ZE1aw1dXrJg,25,EiwxlbR8fb68lMgEXhcWKA
j14WgRoU_-2ZE1aw1dXrJg,26,C6LV0p8L6IfBfh1YFRkWzQ
j14WgRoU_-2ZE1aw1dXrJg,27,ZIOCmdFaMIF56FR-nWr_2A
j14WgRoU_-2ZE1aw1dXrJg,28,syvwUKQJ4OYfmL_ixVLMeQ
j14WgRoU_-2ZE1aw1dXrJg,29,nmqX1cxPOYHwql5e4U9LuA
j14WgRoU_-2ZE1aw1dXrJg,30,IDVFG1pNSHIHoVuoLuZpcQ
j14WgRoU_-2ZE1aw1dXrJg,31,_BcWyKQL16ndpBdggh2kNA
j14WgRoU_-2ZE1aw1dXrJg,32,lExyz31t8t6DBRxmu858eg
j14WgRoU_-2ZE1aw1dXrJg,33,-NbeVN5tnwdyYAvdNkKMjw
j14WgRoU_-2ZE1aw1dXrJg,34,w-w-k-QXosIKQ8HQVwU6IQ
q_QQ5kBBwlCcbL1s4NVK3g,0,qVc8ODYU5SZjKXVBgXdI7w
q_QQ5kBBwlCcbL1s4NVK3g,1,MGPQVLsODMm9ZtYQW-g_OA
q_QQ5kBBwlCcbL1s4NVK3g,2,QJI9OSEn6ujRCtrX06vs1w
q_QQ5kBBwlCcbL1s4NVK3g,3,2l0O1EI1m0yWjFo2zSt71w
q_QQ5kBBwlCcbL1s4NVK3g,4,RgDVC3ZUBqpEe6Y1kPhIpw
q_QQ5kBBwlCcbL1s4NVK3g,5,VHdY6oG2JPVNjihWhOooAQ
q_QQ5kBBwlCcbL1s4NVK3g,6,om5ZiponkpRqUNa3pVPiRg
q_QQ5kBBwlCcbL1s4NVK3g,7,jVYzrVblDFSuL3GHtt8ZSA
q_QQ5kBBwlCcbL1s4NVK3g,8,3zxy3LVBV3ttxoYbY4rQ8A
q_QQ5kBBwlCcbL1s4NVK3g,9,0G-QF457q_0Z_jKqh6xWiA
q_QQ5kBBwlCcbL1s4NVK3g,10,ITa3vh5ERI90G_WP4SmGUQ
q_QQ5kBBwlCcbL1s4NVK3g,11,P5bUL3Engv-2z6kKohB6qQ
q_QQ5kBBwlCcbL1s4NVK3g,12,HzoQKKHDq9BI37dyJAAtGA
q_QQ5kBBwlCcbL1s4NVK3g,13,v9VCObZVWhOPdm1rKt8Dvg
q_QQ5kBBwlCcbL1s4NVK3g,14,gjhzKWsqCIrpEd9pevbKZw
q_QQ5kBBwlCcbL1s4NVK3g,15,Ve0LUwcrzxL7w0RYgY4Aaw
q_QQ5kBBwlCcbL1s4NVK3g,16,m07sy7eLtOjVdZ8oN9JKag
q_QQ5kBBwlCcbL1s4NVK3g,17,ci7Q6NvXQ8UZrBHusVX18g
q_QQ5kBBwlCcbL1s4NVK3g,18,OgYi5x02MBukfxPNFe1ePg
q_QQ5kBBwlCcbL1s4NVK3g,19,fHS0bQ-l5rHME_xXKQSYXQ
q_QQ5kBBwlCcbL1s4NVK3g,20,M9puGD3VU5FuhE60HklCvg
q_QQ5kBBwlCcbL1s4NVK3g,21,4VbB9qS2Xvk-bjAI1bNlGw
q_QQ5kBBwlCcbL1s4NVK3g,22,t4aq9buiAuyciHxr7RvzNg
q_QQ5kBBwlCcbL1s4NVK3g,23,WWnhqRnWWjutMqh-2SzEuQ
q_QQ5kBBwlCcbL1s4NVK3g,24,HFECrzYDpgbS5EmTBtj2zQ
q_QQ5kBBwlCcbL1s4NVK3g,25,YOw1yg8THktCCioY2q55_A
q_QQ5kBBwlCcbL1s4NVK3g,26,RmXIjppHNtVveguN10iO1g
q_QQ5kBBwlCcbL1s4NVK3g,27,p3heVCnq3M0H2LMxIuuc5g
q_QQ5kBBwlCcbL1s4NVK3g,28,rcU7ysY41qGppbw4pQgjqg
q_QQ5kBBwlCcbL1s4NVK3g,29,EiwxlbR8fb68lMgEXhcWKA
q_QQ5kBBwlCcbL1s4NVK3g,30,ZIOCmdFaMIF56FR-nWr_2A
q_QQ5kBBwlCcbL1s4NVK3g,31,syvwUKQJ4OYfmL_ixVLMeQ
q_QQ5kBBwlCcbL1s4NVK3g,32,cEDMie5DjE_00sJ23H2q9Q
q_QQ5kBBwlCcbL1s4NVK3g,33,xTGpw0x5EUj11YFhwr6m2A
q_QQ5kBBwlCcbL1s4NVK3g,34,_BcWyKQL16ndpBdggh2kNA
q_QQ5kBBwlCcbL1s4NVK3g,35,-NbeVN5tnwdyYAvdNkKMjw
MGPQVLsODMm9ZtYQW-g_OA,0,qVc8ODYU5SZjKXVBgXdI7w
MGPQVLsODMm9ZtYQW-g_OA,1,j14WgRoU_-2ZE1aw1dXrJg
MGPQVLsODMm9ZtYQW-g_OA,2,q_QQ5kBBwlCcbL1s4NVK3g
MGPQVLsODMm9ZtYQW-g_OA,3,QJI9OSEn6ujRCtrX06vs1w
