word,counts
rowrevtextif,80
decide,64
aware,44
hours,351
multiple,109
locations,64
nj,18
bad,737
experience,1083
food,5118
takes,118
waitstaff,40
pleasant,187
experiences,71
spent,134
waiting,366
diner,87
restaurant,1372
weekends,73
quicker,7
rowrevtexti've,128
lot,726
spin,14
classes,65
compares,6
cycle,12
nice,1744
clean,671
space,236
amazing,1114
bikes,20
welcoming,95
motivating,2
instructors,18
class,115
notch,76
struggles,1
fit,74
workouts,7
online,159
scheduling,19
system,75
easy,245
plan,108
ahead,101
advanced,9
gyms,3
write,108
review,419
russell,6
owner,331
shout,22
russell's,1
passion,15
fitness,30
cycling,5
evident,4
desire,19
clients,26
succeed,5
dropping,22
check,565
inprovide,1
encouragement,2
ideas,12
recommendations,59
wears,4
smile,70
kicking,5
butt,21
rowrevtext'family,1
buffet,145
eclectic,32
assortment,18
chicken,1401
leg,15
fried,589
jalapeño,30
tamale,6
rolled,31
grape,9
leaves,46
fresh,1024
melon,7
lots,260
mexican,240
choices,146
menu,1295
breakfast,668
served,427
friendly,1489
attentive,300
staff,1585
casual,105
relaxed,51
meal,789
expectations,95
clarion,1
hotel',5
rowrevtextwow,26
yummy,232
delicious,1388
favorite,645
lamb,146
curry,116
korma,8
kinds,43
naan,30
deter,6
changed,114
mindsgo,1
glad,197
rowrevtextcute,10
interior,92
tour,233
upcoming,7
patiorooftop,1
beautiful,295
days,267
cheese,990
curds,8
filling,131
sandwiches,234
salad,766
eating,319
onion,135
gruyere,5
tomato,128
sandwich,601
elsepepper,1
jelly,16
options,403
salads,131
fun,440
cheeses,43
beer,734
wine,444
limited,104
cocktails,133
draft,44
wines,65
rowrevtexti,945
term,15
frequent,74
customer,471
establishment,118
apps,51
told,715
busy,441
half,435
dick,4
reach,14
fuck,2
tipper,2
kanella,13
dmitris,1
rowrevtextloved,9
grabbed,34
groupon,63
price,768
perfect,562
explore,23
orleans,228
who'd,1
history,60
city,407
guide,60
tons,65
tidbits,1
enjoyed,441
highly,470
recommended,201
cemetery,20
french,335
quarter,90
hour,570
meet,78
front,423
grocery,59
store,501
strange,58
terribly,14
chance,127
water,321
visitor,13
center,159
bathroom,129
break,65
trip,266
rowrevtext'amazingly,2
wings,300
homemade,153
bleu,15
ribeye,20
tender,160
perfectly,268
prepared,211
selection,530
craft,87
beers,241
recommend,914
checking,88
hidden,77
gem',7
rowrevtextthis,492
easter,9
lopez,1
lake,12
los,21
padres,2
national,22
forest,7
pretty,1099
white,220
rock,81
cut,287
